Date,Open,High,Low,Close,Volume,Adj Close
2016-08-23,106.349998,106.699997,106.010002,106.139999,29600,106.139999
2016-08-22,106.75,106.870003,105.50,105.910004,99200,105.910004
2016-08-19,107.25,107.690002,106.949997,107.160004,48500,107.160004
2016-08-18,108.00,108.849998,107.989998,108.699997,23000,108.699997
2016-08-17,106.650002,107.900002,105.900002,107.309998,62900,107.309998
2016-08-16,107.349998,108.00,106.949997,107.440002,54000,107.440002
2016-08-15,107.199997,107.400002,106.75,106.889999,59000,106.889999
2016-08-12,110.260002,110.260002,107.720001,108.010002,148300,108.010002
2016-08-11,112.279999,112.279999,109.400002,109.43,72000,109.43
2016-08-10,113.290001,113.769997,113.099998,113.300003,46300,113.300003
2016-08-09,110.800003,111.43,110.760002,111.050003,25100,111.050003
2016-08-08,110.510002,111.00,110.440002,110.580002,30600,110.580002
2016-08-05,110.00,110.239998,109.349998,110.089996,47000,110.089996
2016-08-04,111.400002,111.849998,110.75,111.43,31700,111.43
2016-08-03,111.949997,112.150002,111.050003,111.900002,40000,111.900002
2016-08-02,113.110001,113.169998,112.050003,112.230003,53800,112.230003
2016-08-01,111.00,111.800003,110.650002,111.230003,68500,111.230003
2016-07-29,109.940002,111.400002,109.50,110.120003,92900,110.120003
2016-07-28,109.800003,109.989998,108.849998,109.239998,70900,109.239998
2016-07-27,107.099998,109.50,107.099998,109.279999,133900,109.279999
2016-07-26,105.199997,105.32,104.849998,104.980003,24200,104.980003
2016-07-25,103.019997,104.790001,102.709999,104.00,44200,104.00
2016-07-22,104.660004,105.300003,103.800003,103.959999,19900,103.959999
2016-07-21,104.629997,106.169998,104.629997,106.00,42700,106.00
2016-07-20,103.089996,104.57,102.900002,104.110001,67600,104.110001
2016-07-19,104.75,105.220001,104.510002,104.980003,33900,104.980003
2016-07-18,104.400002,105.629997,104.400002,105.510002,26800,105.510002
2016-07-15,104.599998,104.800003,103.849998,104.50,85100,104.50
2016-07-14,104.650002,105.889999,104.099998,105.879997,43900,105.879997
2016-07-13,104.949997,105.739998,104.949997,105.440002,51700,105.440002
2016-07-12,105.349998,105.75,104.449997,104.709999,121500,104.709999
2016-07-11,105.489998,106.25,105.389999,105.959999,59100,105.959999
2016-07-08,104.959999,105.870003,104.110001,105.800003,79800,105.800003
2016-07-07,104.599998,105.099998,103.50,104.830002,79300,104.830002
2016-07-06,103.150002,104.900002,102.949997,104.510002,89200,104.510002
2016-07-05,102.519997,103.50,102.120003,103.330002,97500,103.330002
2016-07-01,100.669998,102.150002,100.599998,101.940002,104100,101.940002
2016-06-30,96.699997,99.00,96.699997,98.919998,96100,98.919998
2016-06-29,96.160004,97.25,96.099998,96.900002,73100,96.900002
2016-06-28,93.959999,94.300003,93.419998,94.029999,25600,94.029999
2016-06-27,94.889999,94.949997,93.699997,94.120003,60100,94.120003
2016-06-24,95.599998,95.629997,93.870003,94.529999,203000,94.529999
2016-06-23,92.800003,93.349998,92.650002,92.779999,50100,92.779999
2016-06-22,94.550003,94.970001,93.940002,94.040001,27900,94.040001
2016-06-21,94.150002,94.449997,93.610001,94.050003,34200,94.050003
2016-06-20,94.25,95.050003,94.150002,94.93,30200,94.93
2016-06-17,93.330002,93.730003,92.75,93.389999,41800,93.389999
2016-06-16,94.75,94.949997,93.199997,93.330002,128300,93.330002
2016-06-15,94.43,94.50,93.50,94.080002,87500,94.080002
2016-06-14,94.849998,94.849998,93.349998,93.849998,49400,93.849998
2016-06-13,95.550003,95.809998,95.010002,95.290001,56700,95.290001
2016-06-10,95.949997,96.449997,94.910004,95.519997,74800,95.519997
2016-06-09,96.099998,96.800003,96.00,96.68,45600,96.68
2016-06-08,97.849998,98.129997,96.959999,97.339996,64300,97.339996
2016-06-07,95.300003,96.550003,95.150002,96.370003,55100,96.370003
2016-06-06,95.330002,95.839996,94.949997,95.839996,35800,95.839996
2016-06-03,94.00,94.650002,94.00,94.519997,51900,94.519997
2016-06-02,92.839996,92.879997,92.050003,92.099998,47000,92.099998
2016-06-01,93.50,93.599998,93.050003,93.470001,63300,93.470001
2016-05-31,93.599998,94.349998,93.260002,94.089996,144000,94.089996
2016-05-27,95.00,95.00,93.760002,94.00,45900,94.00
2016-05-26,96.550003,96.550003,95.349998,95.550003,37700,95.550003
