,Gold,PPLT,SLV
169,78.768646,147.320007,23.120001
170,78.504522,147.580002,22.889999
171,76.909978,146.100006,22.98
172,74.943694,145.039993,22.83
173,73.045888,147.399994,22.57
174,70.433963,145.800003,21.76
175,72.507855,145.520004,21.950001
176,69.915492,142.660004,21.4
177,72.81111,146.399994,22.280001
178,72.674156,143.380005,21.620001
179,72.967626,143.770004,21.51
180,74.532831,143.449997,21.879999
181,72.370901,142.479996,21.610001
182,71.382866,143.119995,21.530001
183,74.170876,142.779999,21.709999
184,77.584965,145.559998,21.98
185,76.675192,142.5,21.440001
186,78.524083,146.940002,21.98
187,76.665415,146.479996,21.77
188,76.098029,148.419998,21.780001
189,77.359971,149.960007,21.93
190,75.618689,146.940002,20.860001
191,75.892597,147.5,21.16
192,73.799144,145.070007,20.91
193,73.750228,144.979996,21.02
194,73.848052,142.550003,21.040001
195,73.701313,141.690002,21.33
196,73.16328,140.509995,21.1
197,71.030696,141.369995,20.879999
198,68.702465,139.009995,20.6
199,64.241642,133.160004,18.969999
200,65.259023,134.770004,19.389999
201,61.629718,130.830002,18.969999
202,62.34384,132.220001,18.91
203,59.164529,127.540001,17.889999
204,60.690599,128.800003,17.889999
205,62.607967,131.080002,18.969999
206,62.735137,134.539993,18.93
207,61.336244,133.789993,18.68
208,63.057961,131.410004,19.02
209,60.53408,130.119995,18.209999
210,59.800392,133.389999,18.42
211,60.631903,133.660004,18.57
212,59.379745,133.690002,18.48
213,66.403573,138.029999,19.49
214,64.809029,137.960007,19.209999
215,63.234046,139.380005,19.280001
216,67.508999,139.440002,19.33
217,65.904671,137.720001,18.66
218,65.689455,138.520004,18.719999
219,68.800288,139.559998,18.879999
220,72.028507,141.270004,19.77
221,72.68394,141.740005,19.77
222,70.169839,141.539993,19.469999
223,70.160055,141.460007,19.5
224,71.715468,139.759995,19.32
225,71.774168,140.970001,19.139999
226,71.314389,140.600006,19.030001
227,72.654586,140.490005,19.139999
228,71.069827,140.779999,18.969999
229,69.044851,141.550003,19.120001
230,69.719838,142.009995,19.01
231,65.288369,139.679993,18.83
232,64.769898,140.520004,18.83
233,68.87855,145.25,19.6
234,71.558952,146.649994,19.76
235,73.036111,146.389999,20.620001
236,72.948064,146.610001,20.709999
237,75.246949,147.259995,21.09
238,77.565403,149.009995,22.15
239,78.504522,149.320007,22.34
240,76.48933,147.429993,22.34
241,78.631691,148.559998,22.190001
242,75.775205,148.660004,22.139999
243,76.919755,150.639999,22.27
244,79.189293,150.360001,23.15
245,79.336032,151.369995,23.459999
246,77.066494,149.270004,23.59
247,76.381722,150.229996,23.43
248,77.604534,148.75,23.0
249,76.323022,148.619995,22.6
250,77.340402,150.300003,23.389999
251,78.289306,146.440002,22.690001
252,76.17629,145.220001,22.379999
253,76.205637,146.130005,22.969999
254,74.738263,145.0,22.84
255,71.83286,143.960007,22.129999
256,71.930684,144.149994,22.290001
257,68.399203,140.759995,21.059999
258,69.983969,141.820007,21.42
259,70.208963,140.270004,20.940001
260,71.999161,139.059998,20.959999
261,77.46758,143.660004,22.309999
262,75.188256,142.949997,22.200001
263,71.783945,139.839996,21.0
264,70.883957,139.0,20.780001
265,69.983969,139.559998,20.889999
266,71.060042,139.559998,20.98
267,70.541571,137.990005,20.92
268,70.169839,138.869995,20.959999
269,69.974185,137.320007,20.9
270,68.947027,135.619995,20.41
271,68.545941,135.990005,20.92
272,67.606823,134.339996,20.92
273,68.203556,135.800003,20.93
274,69.67093,137.149994,21.530001
275,67.939424,137.110001,21.49
276,67.597038,135.059998,21.049999
277,67.381822,135.529999,20.83
278,66.726397,134.080002,20.52
279,68.448118,134.699997,20.5
280,70.492656,135.350006,20.559999
281,67.958993,136.559998,20.5
282,70.50244,140.550003,21.049999
283,70.169839,140.529999,21.110001
284,71.118735,140.5,21.41
285,73.916529,141.720001,21.870001
286,71.421997,140.380005,21.75
287,73.994791,141.910004,21.870001
288,75.061087,142.199997,21.709999
289,76.479545,143.699997,21.68
290,74.356746,142.789993,21.690001
291,75.41325,144.029999,21.879999
292,72.292639,141.639999,21.1
293,69.925277,142.110001,21.08
294,72.048076,141.960007,20.85
295,71.920899,141.740005,20.9
296,72.644809,143.020004,21.0
297,75.559989,142.210007,20.83
298,75.012171,140.990005,20.690001
299,74.151314,139.899994,20.6
300,71.490475,139.960007,20.0
301,70.326355,140.190002,19.780001
302,71.901338,141.350006,20.049999
303,71.686121,140.660004,20.0
304,71.285043,137.860001,19.67
305,72.615463,138.570007,19.610001
306,69.905708,136.169998,19.139999
307,69.123113,136.130005,19.24
308,68.497026,135.229996,19.129999
309,67.704646,135.25,19.27
310,66.569881,134.259995,19.129999
311,67.479653,132.139999,18.959999
312,69.211151,133.479996,19.24
313,65.826409,131.020004,18.459999
314,64.16338,132.729996,18.42
315,65.904671,134.050003,19.0
316,64.222081,133.139999,18.690001
317,64.016649,132.820007,18.76
318,64.231865,134.399994,19.120001
319,66.481834,135.869995,19.66
320,63.879695,135.259995,19.549999
321,62.422101,132.949997,18.809999
322,62.686229,132.940002,18.950001
323,62.950353,132.940002,19.219999
324,62.490578,131.830002,19.139999
325,61.972104,130.779999,19.09
326,61.502544,128.809998,18.49
327,59.86887,130.240005,18.620001
328,60.426471,129.759995,18.719999
329,61.385156,130.320007,18.76
330,61.199289,132.449997,19.02
331,61.590587,134.479996,19.27
332,60.279733,132.820007,18.85
333,61.443852,133.889999,18.709999
334,63.820995,137.020004,19.23
335,62.0308,137.910004,19.42
336,60.54386,138.520004,19.42
337,60.788423,137.979996,19.129999
338,59.917781,138.289993,18.83
339,58.000413,138.360001,18.84
340,60.230821,140.240005,19.379999
341,62.314493,140.779999,19.68
342,61.473198,139.380005,19.42
343,60.925377,139.380005,19.4
